Anno 2019;;;
;Varietà;Ha;Prod.
;;;
;Carnaroli;23,4;1430
;Vialone Nano;6,5;397,2
;Augusto;38;2496,5
;Grano;14,5;785,4
;Soia;8,5;141,2
;;;
Anno 2018;;;
;Varietà;Ha;Prod.
;Carnaroli;23,2;1412,5
;Vialone Nano;6,1;328,4
;Augusto;36,7;2320,2
;Grano;14,5;534
;Soia;8,5;303
;;;
Anno 2017;;;
;Varietà;Ha;Prod.
;Carnaroli;22,6;1296,4
;Vialone Nano;6,1;500,1
;Augusto;37,3;2627,6
;Grano;14,5;391,4
;Soia;8,5;284,5
;;;
Anno 2016;;;
;Varietà;Ha;Prod.
;Carnaroli;19,3;1160,8
;Vialone Nano;13,2;624,4
;Augusto;35,6;2293,8
;Grano;0;0
;Soia;15,7;313,6
